Lokasi,Status Pelaporan,Identitas Petugas
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Tidak Liar,Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Pusat Perbelanjaan,Liar,Tidak Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Tidak Liar,Ada
Gedung Perkantoran,Liar,Tidak Ada
Gedung Perkantoran,Liar,Tidak Ada
Gedung Perkantoran,Liar,Tidak Ada
Gedung Perkantoran,Liar,Tidak Ada
Gedung Perkantoran,Liar,Tidak Ada
Gedung Perkantoran,Liar,Tidak Ada
Gedung Perkantoran,Liar,Tidak Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Tidak Liar,Ada
Rumah Sakit,Liar,Tidak Ada
Rumah Sakit,Liar,Tidak Ada
Rumah Sakit,Liar,Tidak Ada
Rumah Sakit,Liar,Tidak Ada
Rumah Sakit,Liar,Tidak Ada
Rumah Sakit,Liar,Tidak Ada
Rumah Sakit,Liar,Tidak Ada
Universitas,Tidak Liar,Ada
Universitas,Tidak Liar,Ada
Universitas,Tidak Liar,Ada
Universitas,Tidak Liar,Ada
Universitas,Tidak Liar,Ada
Universitas,Tidak Liar,Ada
Universitas,Tidak Liar,Ada
Universitas,Liar,Tidak Ada
Universitas,Liar,Tidak Ada
Universitas,Liar,Tidak Ada
Universitas,Liar,Tidak Ada
Universitas,Liar,Tidak Ada
Universitas,Liar,Tidak Ada
Universitas,Liar,Tidak Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Tidak Liar,Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
Tempat Umum,Liar,Tidak Ada
,,
